,pbo,best_strat
1332 JT,0.24444444444444444,RSI-14-40-80
1333 JT,0.4,RSI-14-40-80
1605 JT,0.5333333333333333,RSI-4-20-80
1721 JT,0.26666666666666666,RSI-14-40-80
1801 JT,0.5555555555555556,RSI-4-20-80
1802 JT,0.35555555555555557,RSI-14-40-60
1803 JT,0.15555555555555556,RSI-24-40-80
1808 JT,0.6888888888888889,RSI-14-30-70
1812 JT,0.5333333333333333,BBANDS-20-3
1925 JT,0.022222222222222223,RSI-4-30-80
1928 JT,0.15555555555555556,RSI-24-20-80
1963 JT,0.8,RSI-24-20-70
2002 JT,0.3333333333333333,RSI-24-40-70
2269 JT,0.13333333333333333,RSI-14-40-80
2282 JT,0.26666666666666666,RSI-24-20-80
2432 JT,0.2222222222222222,RSI-24-20-80
2501 JT,0.37777777777777777,RSI-24-40-60
2502 JT,0.6,RSI-4-40-70
2503 JT,0.3333333333333333,RSI-24-40-60
2531 JT,0.4666666666666667,RSI-14-20-80
2768 JT,0.5555555555555556,RSI-24-40-80
2801 JT,0.35555555555555557,RSI-24-40-80
2802 JT,0.4,RSI-24-40-60
2871 JT,0.6888888888888889,RSI-24-30-80
2914 JT,0.5777777777777777,RSI-4-20-60
3086 JT,0.5333333333333333,BBANDS-20-1
3099 JT,0.37777777777777777,BBANDS-20-2
3101 JT,0.4,RSI-14-30-80
3103 JT,0.26666666666666666,RSI-14-40-70
3105 JT,0.3333333333333333,RSI-14-40-70
3289 JT,0.7111111111111111,RSI-24-30-60
3382 JT,0.35555555555555557,RSI-14-40-80
3401 JT,0.4666666666666667,RSI-4-30-80
3402 JT,0.8444444444444444,RSI-24-20-80
3405 JT,0.28888888888888886,RSI-14-30-70
3407 JT,0.3333333333333333,RSI-24-20-80
3436 JT,0.3111111111111111,MACD-7-26-9
3861 JT,0.6222222222222222,RSI-14-40-70
3863 JT,0.6,RSI-14-40-60
4004 JT,0.8,BBANDS-30-1
4005 JT,0.6444444444444445,MACD-7-22-9
4021 JT,0.17777777777777778,RSI-14-40-80
4042 JT,0.3111111111111111,RSI-24-20-80
4043 JT,0.4444444444444444,RSI-24-30-80
4061 JT,0.4444444444444444,RSI-24-20-80
4063 JT,0.28888888888888886,RSI-24-30-80
4151 JT,0.2222222222222222,RSI-14-40-80
4183 JT,0.17777777777777778,RSI-14-40-80
4188 JT,0.4222222222222222,RSI-14-30-80
4208 JT,0.3111111111111111,RSI-4-30-80
4324 JT,0.5333333333333333,RSI-14-40-80
4452 JT,0.6666666666666666,RSI-4-40-80
4502 JT,0.3333333333333333,RSI-14-30-70
4503 JT,0.15555555555555556,RSI-14-40-70
4506 JT,0.2222222222222222,RSI-14-30-80
4507 JT,0.3111111111111111,RSI-24-40-80
4519 JT,0.08888888888888889,RSI-24-40-80
4523 JT,0.4444444444444444,MACD-17-22-9
4543 JT,0.35555555555555557,RSI-14-40-70
4568 JT,0.35555555555555557,RSI-14-40-80
4689 JT,0.6888888888888889,RSI-4-40-80
4704 JT,0.15555555555555556,RSI-4-40-80
4901 JT,0.28888888888888886,RSI-14-40-80
4902 JT,0.08888888888888889,MACD-7-26-9
4911 JT,0.17777777777777778,RSI-14-40-80
5020 JT,0.4444444444444444,RSI-24-40-60
5101 JT,0.6888888888888889,RSI-14-20-80
5108 JT,0.2222222222222222,RSI-4-30-80
5201 JT,0.5333333333333333,RSI-24-20-80
5202 JT,0.2,RSI-14-20-80
5214 JT,0.5111111111111111,RSI-14-40-80
5232 JT,0.5777777777777777,RSI-4-40-70
5233 JT,0.7111111111111111,BBANDS-30-1
5301 JT,0.5333333333333333,RSI-24-30-80
5332 JT,0.13333333333333333,RSI-24-30-80
5333 JT,0.6,RSI-14-40-80
5401 JT,0.37777777777777777,RSI-14-40-70
5406 JT,0.7111111111111111,RSI-14-40-80
5411 JT,0.4666666666666667,RSI-14-40-70
5541 JT,0.37777777777777777,RSI-24-30-70
5631 JT,0.2222222222222222,RSI-24-20-80
5703 JT,0.4222222222222222,RSI-14-40-80
5706 JT,0.4,MACD-7-22-9
5707 JT,0.8666666666666667,BBANDS-20-3
5711 JT,0.4444444444444444,RSI-14-30-80
5713 JT,0.15555555555555556,RSI-24-20-80
5714 JT,0.2,RSI-24-20-80
5801 JT,0.7777777777777778,BBANDS-10-1
5802 JT,0.8444444444444444,RSI-14-20-80
5803 JT,0.022222222222222223,RSI-24-20-80
5901 JT,0.6444444444444445,RSI-4-40-60
6103 JT,0.3333333333333333,BBANDS-30-1
6113 JT,0.4444444444444444,RSI-24-20-80
6301 JT,0.4222222222222222,RSI-24-20-80
6302 JT,0.4888888888888889,RSI-24-20-80
6305 JT,0.6,RSI-14-30-80
6326 JT,0.08888888888888889,RSI-24-20-80
6361 JT,0.37777777777777777,RSI-14-40-80
6367 JT,0.3333333333333333,RSI-24-40-80
6471 JT,0.1111111111111111,RSI-24-20-80
6472 JT,0.5333333333333333,BBANDS-30-1
6473 JT,0.4444444444444444,RSI-24-20-80
6479 JT,0.26666666666666666,MACD-17-26-9
6501 JT,0.5111111111111111,RSI-24-20-80
6503 JT,0.15555555555555556,RSI-14-40-80
6504 JT,0.28888888888888886,RSI-24-20-80
6506 JT,0.08888888888888889,MACD-17-31-9
6674 JT,0.5555555555555556,RSI-14-40-80
6701 JT,0.4,RSI-24-40-70
6702 JT,0.35555555555555557,RSI-14-40-80
6703 JT,0.7333333333333333,RSI-4-30-60
6752 JT,0.3111111111111111,MACD-17-26-9
6758 JT,0.5111111111111111,RSI-24-30-80
6762 JT,0.5111111111111111,RSI-14-40-80
6770 JT,0.5333333333333333,BBANDS-20-1
6841 JT,0.6,RSI-4-30-70
6857 JT,0.2222222222222222,RSI-24-40-80
6902 JT,0.06666666666666667,RSI-24-20-80
6952 JT,0.5111111111111111,RSI-14-40-80
6954 JT,0.28888888888888886,RSI-24-20-80
6971 JT,0.2222222222222222,RSI-14-30-80
6976 JT,0.4444444444444444,RSI-24-40-80
6988 JT,0.06666666666666667,RSI-24-20-80
7003 JT,0.5555555555555556,BBANDS-10-1
7004 JT,0.4888888888888889,BBANDS-30-1
7011 JT,0.24444444444444444,BBANDS-10-1
7012 JT,0.4222222222222222,MACD-12-22-9
7013 JT,0.8666666666666667,BBANDS-30-2
7186 JT,0.24444444444444444,RSI-4-40-80
7201 JT,0.4,RSI-4-20-80
7202 JT,0.8222222222222222,RSI-14-40-60
7203 JT,0.1111111111111111,RSI-14-30-80
7205 JT,0.8888888888888888,RSI-14-40-60
7211 JT,0.7555555555555555,RSI-24-20-80
7261 JT,0.4666666666666667,BBANDS-10-1
7267 JT,0.4222222222222222,RSI-24-30-70
7269 JT,0.1111111111111111,RSI-24-40-70
7270 JT,0.7333333333333333,RSI-14-40-70
