date,1332 JT,1333 JT,1605 JT,1721 JT,1801 JT,1802 JT,1803 JT,1808 JT,1812 JT,1925 JT,1928 JT,1963 JT,2002 JT,2269 JT,2282 JT,2432 JT,2501 JT,2502 JT,2503 JT,2531 JT,2768 JT,2801 JT,2802 JT,2871 JT,2914 JT,3086 JT,3099 JT,3101 JT,3103 JT,3105 JT,3289 JT,3382 JT,3401 JT,3402 JT,3405 JT,3407 JT,3436 JT,3861 JT,3863 JT,4004 JT,4005 JT,4021 JT,4042 JT,4043 JT,4061 JT,4063 JT,4151 JT,4183 JT,4188 JT,4208 JT,4324 JT,4452 JT,4502 JT,4503 JT,4506 JT,4507 JT,4519 JT,4523 JT,4543 JT,4568 JT,4689 JT,4704 JT,4901 JT,4902 JT,4911 JT,5020 JT,5101 JT,5108 JT,5201 JT,5202 JT,5214 JT,5232 JT,5233 JT,5301 JT,5332 JT,5333 JT,5401 JT,5406 JT,5411 JT,5541 JT,5631 JT,5703 JT,5706 JT,5707 JT,5711 JT,5713 JT,5714 JT,5801 JT,5802 JT,5803 JT,5901 JT,6103 JT,6113 JT,6301 JT,6302 JT,6305 JT,6326 JT,6361 JT,6367 JT,6471 JT,6472 JT,6473 JT,6479 JT,6501 JT,6503 JT,6504 JT,6506 JT,6674 JT,6701 JT,6702 JT,6703 JT,6752 JT,6758 JT,6762 JT,6770 JT,6841 JT,6857 JT,6902 JT,6952 JT,6954 JT,6971 JT,6976 JT,6988 JT,7003 JT,7004 JT,7011 JT,7012 JT,7013 JT,7186 JT,7201 JT,7202 JT,7203 JT,7205 JT,7211 JT,7261 JT,7267 JT,7269 JT,7270 JT,7731 JT,7733 JT,7735 JT,7751 JT,7752 JT,7762 JT,7911 JT,7912 JT,7951 JT,8001 JT,8002 JT,8015 JT,8031 JT,8035 JT,8053 JT,8058 JT,8233 JT,8252 JT,8253 JT,8267 JT,8303 JT,8304 JT,8306 JT,8308 JT,8309 JT,8316 JT,8331 JT,8354 JT,8355 JT,8411 JT,8601 JT,8604 JT,8628 JT,8630 JT,8725 JT,8750 JT,8766 JT,8795 JT,8801 JT,8802 JT,8804 JT,8830 JT,9001 JT,9005 JT,9007 JT,9008 JT,9009 JT,9020 JT,9021 JT,9022 JT,9062 JT,9064 JT,9101 JT,9104 JT,9107 JT,9202 JT,9301 JT,9412 JT,9432 JT,9433 JT,9501 JT,9502 JT,9503 JT,9531 JT,9532 JT,9602 JT,9613 JT,9735 JT,9766 JT,9983 JT,9984 JT
2013-01-04,169.0987,,970.678,950.5521,1232.0186,413.2189,278.1162,,478.8201,1214.8674,718.018,2381.3169,799.7388,1703.7396,2070.3988,,1250.1329,1610.346,851.5849,625.0242,102.0232,1174.5984,1042.3628,834.8598,1770.0242,819.2814,784.5595,1051.1472,480.0,592.8913,,2085.9556,929.048,478.2341,918.9031,425.4973,771.7736,256.4354,,1112.8703,221.5984,912.5397,345.0175,931.3228,1173.5344,4728.5,755.8341,922.5475,347.3041,1627.0472,2050.0436,2016.7886,2949.0962,674.0037,939.5635,1294.6734,498.3045,2971.1516,795.1279,374.0586,246.4605,2091.9267,1545.8593,496.6255,1141.4789,372.7462,1005.6108,1870.1118,2525.949,1051.2935,1896.0391,2673.0273,2109.9766,312.9105,1149.0622,902.1428,1878.2482,998.3781,1374.5735,4005.8698,2516.6762,810.1484,1832.7913,3434.5146,2559.6368,2106.8191,2369.8947,1691.747,850.2792,244.2082,1113.173,2647.2683,442.7426,1829.5427,1721.4616,1586.354,881.0173,1585.5627,2760.8599,514.5562,210.2539,709.3429,277.6487,2242.7239,637.0523,921.4339,766.7664,1500.9801,1692.087,3327.5822,870.7464,457.7071,916.2575,2816.3028,479.5358,843.5925,1213.0102,2520.8529,637.0791,13792.8948,3458.0769,706.9693,,1279.3457,521.469,3547.9699,2040.9893,2063.4888,,649.0172,886.7295,3341.5289,671.2443,814.2488,802.1986,2598.5591,2189.0485,901.8447,2257.1554,404.5014,2448.7998,2425.4295,754.7335,389.5544,904.0282,1097.1182,817.7202,707.3347,470.5171,1810.8322,964.7772,3226.1635,819.4186,1274.7148,1081.4669,592.1068,1802.5986,853.8113,1778.8947,1822.046,371.1067,295.9146,2421.7377,2336.898,447.7057,1380.5087,732.2467,1190.7582,363.2141,410.1643,578.3862,1541.0312,1360.4645,1050.2387,1909.5991,896.2075,1901.3929,1941.4561,757.752,2807.5877,2181.3209,898.161,1736.0106,3031.2769,1416.314,4993.3047,2891.0375,6687.1644,3074.6317,1217.9978,1800.4081,2305.6396,1280.9225,1654.9831,2340.2307,290.7404,719.1478,811.0798,219.0,1038.6998,847.8471,1727.7597,1332.1473,1367.1194,487.5256,3719.2396,1721.7623,20584.8363,1482.3931
2013-01-07,166.3266,,960.1615,924.2187,1236.1949,411.5426,278.1162,,480.4769,1196.8868,720.2228,2352.1579,791.7268,1712.6714,2073.8238,,1250.1329,1621.6436,856.5698,628.606,100.5117,1182.9289,1038.787,820.6494,1820.5762,827.6757,789.1691,1034.4623,490.0,584.0421,,2191.4676,920.7898,478.2341,910.2044,418.1752,748.0132,248.8435,,1096.3833,214.3984,907.3302,335.3441,895.1549,1161.9153,4614.6658,758.4555,894.2236,339.4995,1580.5602,2030.0728,2045.8515,2960.2249,677.3486,941.3565,1309.5749,495.3437,2975.2385,793.9722,376.2574,248.1864,2074.4144,1528.451,493.4724,1147.0156,368.2643,996.079,1823.9459,2454.4599,1003.9379,1850.443,2622.9081,2101.3292,307.8636,1164.6839,905.5567,1861.0166,971.6358,1361.2443,3861.4274,2454.9713,794.717,1807.7987,3381.811,2534.6241,2068.3613,2340.6882,1666.1144,848.6266,248.6483,1096.3774,2604.0123,434.3021,1855.1084,1671.804,1565.2813,875.0181,1543.281,2678.9893,508.884,205.0837,694.5649,274.0777,2225.7977,633.6727,908.7536,747.7332,1492.4275,1700.8091,3148.1977,886.8714,456.0024,905.8455,2855.7223,469.4884,825.9071,1169.6884,2512.6816,622.5449,13267.5306,3398.0111,683.0354,,1232.9926,517.2972,3473.7101,2049.529,2054.5944,,646.7373,866.9512,3282.6992,664.6715,805.5866,780.5175,2566.7724,2130.2518,880.0384,2218.913,402.8059,2333.2903,2361.6024,741.7906,380.3982,892.3955,1085.9394,809.7468,702.8484,463.1538,1772.2864,966.9453,3194.1817,821.5807,1260.5513,1072.6601,598.9322,1783.8836,852.0934,1673.6912,1638.5306,364.9727,291.4979,2367.5774,2311.5363,434.2913,1349.2223,717.0092,1183.453,351.4739,389.8126,556.3786,1496.7986,1352.8171,1029.7423,1901.136,874.6218,1904.9889,1931.3396,749.1802,2778.3321,2181.3209,887.1631,1717.1818,3003.3818,1418.2357,5037.8878,2895.2457,6715.4201,3057.7381,1224.3275,1791.6256,2341.2479,1299.3531,1637.0914,2311.1596,292.3014,724.0266,808.4592,217.0,1009.847,804.2336,1744.782,1327.9713,1364.4123,475.2036,3732.0499,1695.851,21150.4557,1453.9312
2013-01-08,166.3266,,955.9548,938.6596,1215.3132,407.3517,277.2709,,473.8496,1181.2514,709.9339,2378.6661,790.2701,1719.3703,2027.5866,,1250.1329,1627.727,858.2314,625.9197,98.2445,1181.0777,1061.1361,818.8731,1831.1079,827.6757,797.4665,1001.0926,510.0,571.9752,,2178.9066,896.0152,471.2271,907.0412,413.2937,719.8527,244.6258,,1088.1398,204.7985,912.5397,322.4462,845.4241,1161.9153,4632.1787,749.7176,845.6685,323.1099,1557.3166,2016.1801,2052.897,2971.3536,680.6936,948.5288,1307.8217,500.6732,2991.5859,790.5051,374.3335,248.5316,2067.2502,1493.6343,495.049,1168.2396,369.7583,977.0152,1794.2119,2398.8573,966.0535,1770.6498,2581.142,2049.4445,296.9285,1152.5337,880.8054,1843.7849,944.8935,1286.2676,3745.8734,2380.044,779.2856,1732.8209,3267.62,2442.9107,2039.9359,2340.6882,1631.9377,821.3581,244.2082,1082.3811,2504.5234,419.7231,1795.1889,1593.1796,1529.8791,849.3075,1496.7712,2608.0347,488.6259,194.7433,674.04,266.0428,2204.64,631.1381,891.8466,716.0111,1432.5593,1674.6428,3049.5362,838.4966,443.2173,889.7542,2838.2025,442.9997,816.1801,1154.0925,2459.568,603.1661,13092.4092,3372.2686,672.9096,,1214.4514,525.6407,3473.7101,1998.2907,2054.5944,,639.8976,852.1174,3216.0255,654.8124,796.9244,741.4916,2542.9324,2083.2144,847.329,2181.5203,393.3595,2213.1605,2358.0565,719.1405,372.9068,894.0573,1076.3576,796.4577,704.3438,458.7358,1778.0273,964.7772,3122.2226,819.4186,1257.5695,1079.7055,585.2813,1771.1233,851.2344,1664.1273,1572.9894,354.2382,287.0813,2297.9428,2282.5515,428.4225,1337.49,716.1627,1176.1477,336.7985,378.0713,539.8729,1454.1458,1320.6982,982.1905,1859.5895,845.0413,1834.8666,1844.8891,733.7508,2632.9982,2199.6899,896.3281,1728.4791,3040.5753,1429.7661,5109.2207,2920.4949,6819.024,3066.1849,1244.2205,1791.6256,2314.5417,1290.1378,1637.0914,2292.9901,300.1065,721.0993,816.321,214.0,992.8748,795.5109,1761.8042,1340.4993,1377.0457,470.5604,3736.3199,1627.9455,21243.1802,1472.9058
2013-01-09,165.4026,,944.3866,945.4553,1240.3712,417.4098,278.9616,,482.1337,1203.1409,707.7291,2395.4546,789.5417,1714.9044,2031.0116,,1276.7315,1604.2627,850.7541,636.6651,99.0003,1182.9289,1049.5145,820.6494,1805.1298,832.7122,789.1691,1051.1472,510.0,579.2153,,2218.2643,891.8861,472.9788,907.0412,414.1073,721.6127,242.9388,,1104.6268,207.9985,910.8032,325.6707,840.9031,1173.5344,4614.6658,750.5914,849.7148,325.4512,1541.8209,2026.5996,2054.6584,2986.1918,680.6936,954.8045,1327.106,503.0418,3007.9334,792.8165,377.9064,246.7194,2072.0263,1498.8568,489.5309,1162.7029,371.9992,980.1925,1814.5562,2490.2045,1003.9379,1801.0472,2647.9677,2109.9766,302.8166,1161.2124,896.1683,1826.5533,927.0653,1289.5999,3755.5029,2419.7114,779.2856,1757.8135,3373.0271,2467.9234,2085.0821,2365.7223,1640.4819,823.8371,246.8723,1102.909,2586.7099,428.1636,1803.1781,1671.804,1556.8522,872.4471,1543.281,2624.4088,495.9188,193.8817,683.0709,270.5066,2285.0395,631.983,874.9396,738.6697,1428.283,1674.6428,3112.3208,854.6215,442.3649,885.968,2987.1205,436.6059,838.2869,1167.9555,2475.9106,600.7437,13225.8351,3385.1398,679.3533,,1260.8045,542.3278,3646.983,2040.9893,2188.0096,,643.6974,865.303,3267.0112,669.6011,796.9244,767.5089,2582.6657,2075.9778,879.2596,2202.7662,407.8925,2208.5402,2329.6889,737.7459,377.0687,895.7191,1089.1334,799.1155,711.8209,464.6264,1800.9907,977.0628,3118.2249,819.4186,1279.9329,1088.5123,586.1345,1763.4672,851.2344,1683.2552,1631.9765,359.6055,289.2896,2321.1543,2307.9132,434.2913,1364.8655,728.8606,1190.7582,342.6687,391.3781,549.5012,1467.5735,1339.0519,1006.7862,1890.3647,853.8355,1885.2108,1905.5884,745.7514,2683.9594,2204.2822,898.161,1724.7133,3045.2245,1431.6878,5100.3041,2907.8703,6771.9313,3066.1849,1234.274,1782.8431,2350.15,1326.9989,1628.1455,2345.6816,300.4968,718.172,826.8035,209.0,987.7831,780.6823,1766.0598,1336.3233,1440.213,479.3109,3757.6703,1612.7561,21159.7281,1442.072
2013-01-10,167.2507,,942.2833,943.7564,1252.9002,435.0114,284.8789,,490.4178,1225.8122,727.572,2398.1054,785.8999,1723.8362,2054.9864,,1267.8653,1592.965,854.9082,639.3514,102.7789,1189.4082,1061.1361,824.202,1843.7459,829.3545,792.8568,1176.2838,530.0,595.3047,,2193.9798,912.5316,479.11,908.6228,418.1752,747.1332,244.6258,,1154.0877,212.7984,936.851,340.1808,872.55,1177.4075,4710.9871,761.9507,861.8535,335.5972,1572.8123,2043.0972,2072.2723,3071.5116,688.2197,970.942,1320.0935,504.8183,3016.1071,813.6193,382.5787,247.496,2049.7379,1524.0989,498.9904,1174.699,372.7462,988.1357,1848.985,2529.9207,994.4668,1820.0456,2631.2613,2109.9766,307.0224,1175.0984,906.4102,1912.7115,980.5499,1353.7466,3899.9454,2468.1938,794.717,1766.1443,3425.7306,2476.261,2088.4262,2369.8947,1657.5703,844.495,249.5364,1119.7046,2625.6403,438.1387,1832.7384,1713.1853,1569.4958,870.733,1551.7374,2728.1117,492.6775,196.4667,710.9849,272.2922,2276.5764,631.1381,887.6198,756.7966,1428.283,1700.8091,3112.3208,878.8089,450.8883,916.2575,3030.92,444.8265,859.5093,1179.2192,2529.0242,602.3586,13225.8351,3389.4302,705.1282,,1279.3457,538.156,3762.4983,2075.1481,2170.2209,,649.0172,898.2669,3298.3871,681.1034,814.2488,845.5606,2646.2391,2083.2144,886.2688,2237.6093,417.3389,2171.5771,2336.7808,737.7459,387.0572,897.3809,1101.9091,806.203,717.8026,470.5171,1800.1706,990.071,3170.1953,823.0221,1298.5691,1092.035,581.0154,1741.3494,855.5292,1654.5633,1671.3012,363.4392,297.3868,2359.8402,2380.3751,441.8369,1388.3302,733.0932,1219.9793,341.2011,385.8988,549.5012,1481.7911,1387.2302,1053.5182,1986.5371,892.2101,1858.2407,1912.0262,742.3227,2679.2408,2208.8745,899.994,1717.1818,3026.6277,1456.6703,5127.054,2924.7032,6734.2571,3083.0785,1246.029,1861.8855,2430.2688,1409.9363,1637.0914,2351.1324,306.7409,724.0266,812.3901,209.0,997.9665,810.3395,1757.5487,1340.4993,1516.0136,481.9896,3791.831,1568.9749,20918.6445,1442.072
2013-01-11,170.9468,,981.1946,935.2617,1244.5476,435.8496,285.7243,,490.4178,1210.1768,729.7768,2439.6349,791.7268,1737.2338,2058.4114,,1272.2984,1599.0484,858.2314,644.7241,103.5346,1220.8789,1056.6663,825.9783,1859.8945,837.7488,805.7638,1167.9413,550.0,599.327,,2188.9554,904.2734,462.4682,905.4596,418.9887,751.5332,248.8435,,1187.0616,214.3984,949.0066,341.793,899.6759,1192.8997,4772.2824,774.1839,878.0386,341.0604,1572.8123,2114.2974,2087.2441,3167.96,739.2299,989.7691,1347.2668,516.3655,3069.2364,824.0207,391.0988,250.5164,2106.255,1569.3606,524.2158,1174.699,386.192,1007.1995,1876.3716,2529.9207,1003.9379,1804.8469,2581.142,2092.6817,304.4989,1180.3056,911.5312,1921.3273,980.5499,1397.8996,3880.6864,2485.8238,794.717,1799.4678,3434.5146,2434.5731,2110.1633,2365.7223,1666.1144,850.2792,244.2082,1125.3031,2647.2683,435.8368,1861.4998,1717.3234,1603.2122,868.162,1547.5092,2829.0854,496.7291,201.6369,720.8369,268.7211,2280.8079,650.5707,887.6198,767.6727,1441.1119,1709.5312,3112.3208,870.7464,469.6398,930.4557,3022.1601,458.5276,916.9868,1205.2122,2598.4805,637.0791,13034.0354,3415.1728,708.8103,,1362.7813,538.156,3853.2603,2066.6084,2179.1153,,663.4567,891.6741,3341.5289,688.4978,814.2488,884.5865,2685.9724,2122.1107,915.0842,2312.3946,435.7474,2185.4383,2389.97,772.53,388.722,932.2791,1125.8637,831.8952,719.298,472.7261,1819.8536,987.1803,3170.1953,820.86,1312.7326,1102.603,576.7495,1754.1097,861.542,1625.8715,1664.7471,367.2729,298.859,2375.3146,2412.983,446.8673,1407.8842,736.4793,1234.5898,340.4674,383.5505,552.9399,1510.2264,1438.4675,1079.7536,2067.3219,916.9938,1858.2407,1935.0183,738.8939,2635.8294,2218.059,901.827,1713.4161,3040.5753,1481.6528,5162.7204,2912.0785,6837.8611,3083.0785,1260.4967,1897.0154,2492.5834,1428.3668,1646.0372,2358.4002,314.1557,726.954,799.287,221.0,984.3887,804.2336,1757.5487,1344.6753,1515.1112,485.3827,3834.5318,1621.691,21920.0689,1432.5847
2013-01-15,174.643,,1004.331,950.5521,1248.7239,430.8206,280.6523,,488.761,1262.5553,752.5593,2417.5447,799.0104,1752.8645,2106.3611,,1290.0308,1635.5484,864.8779,642.9332,105.0461,1254.2008,1087.061,820.6494,1871.1283,852.8585,820.5146,1176.2838,540.0,601.7404,,2210.7277,900.1443,465.9717,905.4596,419.8023,762.9735,252.2177,,1211.7921,214.3984,940.324,341.793,890.634,1196.7727,4824.8213,761.0769,861.8535,342.6213,1580.5602,2138.6096,2104.858,3249.5702,743.411,1018.4581,1376.1931,532.0578,3167.3212,827.4878,399.6188,259.3185,2101.4789,1597.2139,527.369,1183.004,384.698,997.6676,1862.2871,2482.2612,1022.8802,1816.2459,2522.6696,2075.3868,300.2931,1199.3988,920.0661,1947.1747,980.5499,1392.9011,3784.3914,2472.6013,794.717,1824.4604,3460.8663,2476.261,2185.4068,2419.9629,1649.0261,866.8055,242.4321,1139.2994,2608.3379,444.2773,1897.4515,1746.2903,1631.8711,872.4471,1547.5092,2965.5365,504.022,210.2539,765.1708,266.0428,2301.9657,652.2605,900.3001,759.5156,1436.8356,1779.308,3139.2285,854.6215,482.425,941.8143,2947.7011,458.5276,922.2924,1167.0891,2627.0801,665.3398,12592.0624,3483.8194,739.1879,,1316.4282,533.9842,4076.0398,2109.3069,2205.7983,,671.0565,909.8043,3345.4509,709.8593,805.5866,906.2676,2685.9724,2186.3348,922.0933,2261.4046,469.1732,2213.1605,2404.1538,806.5051,388.722,932.2791,1129.0576,831.0093,729.0183,474.1988,1845.2774,986.4576,3198.1794,827.3462,1317.9507,1146.6367,582.7218,1751.5576,870.1316,1597.1796,1612.3141,370.3399,299.5951,2429.4749,2416.6061,451.0593,1419.6166,747.4842,1234.5898,344.87,386.6816,551.5645,1526.8136,1452.2327,1097.7905,2023.4673,932.1837,1898.6959,1969.9664,745.7514,2645.2666,2236.428,916.4909,1726.5962,3082.4181,1479.731,5251.8866,2941.536,6941.4651,3099.9721,1288.5278,1967.2752,2590.5063,1492.8737,1654.9831,2354.7663,302.4481,740.6149,803.2179,219.0,1001.3609,804.2336,1800.1043,1373.9074,1516.916,490.2043,3885.7727,1617.2236,22086.973,1439.7002
2013-01-16,169.0987,,983.2979,944.6059,1211.1369,414.0571,269.6629,,480.4769,1219.558,738.5958,2403.407,800.4671,1741.6997,2094.3736,,1272.2984,1627.727,857.4006,640.2469,102.7789,1248.6472,1075.4395,809.9916,1864.8093,831.0334,809.4515,1134.5716,530.0,583.2377,,2219.1017,862.9823,446.7022,883.3174,414.9209,746.2532,242.0952,,1154.0877,205.5985,918.6175,328.8951,849.9451,1181.2805,4719.7435,751.4652,833.5297,332.4754,1510.8296,2083.0388,2103.0966,3208.7651,728.3588,1001.424,1396.3539,523.4714,3114.1919,817.0864,399.0692,255.6078,2034.6136,1538.0256,512.3914,1141.4789,376.4811,972.2493,1821.5984,2394.8857,975.5246,1725.0536,2464.1971,2049.4445,294.405,1173.3627,897.8753,1886.864,953.8076,1354.5797,3639.949,2358.0066,763.8542,1766.1443,3337.8914,2409.5604,2187.0789,2399.1011,1580.6727,830.4476,236.2159,1095.4443,2491.5466,426.6289,1809.5695,1671.804,1569.4958,852.7356,1522.1402,2897.311,487.8155,200.7752,738.8989,264.2573,2234.2608,631.1381,879.1663,730.5126,1372.6912,1744.4196,3076.4439,822.3716,479.0156,917.204,2895.1418,434.7791,893.9958,1114.2365,2561.7095,654.0355,12050.02,3436.6248,725.3799,,1270.0751,542.3278,3944.0224,2049.529,2116.8548,,658.1369,886.7295,3259.1673,700.8218,796.9244,871.5779,2606.5057,2129.3472,895.6143,2156.8752,458.0313,2111.5122,2304.8672,809.7409,372.9068,915.6609,1113.0879,807.089,718.5503,461.6811,1785.4084,964.0546,3066.2545,820.86,1293.351,1129.0232,571.6304,1705.6207,872.7085,1568.4878,1566.4353,359.6055,295.1785,2375.3146,2344.1442,450.2209,1396.1518,741.5585,1205.3688,330.1946,375.723,531.6201,1471.5229,1389.5244,1065.816,1964.2251,888.2128,1815.0885,1902.8293,706.3209,2515.976,2218.059,910.9919,1715.2989,3073.1197,1479.731,5242.97,2975.2016,7016.8134,3032.3978,1271.3474,1879.4504,2483.6813,1437.5821,1628.1455,2332.9629,302.4481,729.8813,797.9767,215.0,967.4165,771.0873,1821.3821,1382.2594,1509.6969,485.9184,3800.3711,1584.1643,21067.0037,1392.738
2013-01-17,169.0987,,986.4528,929.3155,1165.1972,396.4555,263.7455,,460.5951,1208.6133,727.572,2356.576,797.5537,1741.6997,2085.8112,,1281.1646,1639.0246,861.5547,634.8742,100.5117,1244.9447,1085.2731,801.1101,1913.9571,825.9968,791.9349,1142.914,500.0,570.3662,,2233.3374,838.2077,437.9434,889.6437,416.548,739.213,238.7211,,1137.6007,202.3985,907.3302,328.8951,827.3402,1189.0266,4746.013,759.3293,825.4372,329.3535,1479.8382,2027.4679,2132.1595,3260.6989,739.2299,987.0796,1424.4037,523.1754,3118.2788,807.8407,402.3673,267.5166,2026.6535,1551.0818,520.2744,1133.1739,377.9751,1004.0222,1834.118,2390.914,956.5824,1694.6562,2464.1971,2014.8547,289.3581,1171.6269,898.7288,1904.0957,935.9794,1331.2536,3572.5425,2335.9691,756.1385,1757.8135,3267.62,2392.8852,2212.1601,2428.3076,1555.0401,824.6634,231.7758,1071.184,2452.6162,420.4904,1839.1298,1688.3565,1580.4537,862.1628,1513.6839,2874.5691,479.7123,197.3284,723.2999,255.3297,2234.2608,631.1381,879.1663,725.9809,1304.2704,1831.6406,3031.5978,806.2467,480.7203,969.2641,2838.2025,427.4719,885.1531,1105.5721,2627.0801,648.3834,12233.4805,3432.3344,716.1746,,1260.8045,542.3278,3935.7713,2066.6084,2107.9605,,659.6569,888.3777,3302.3091,701.6434,788.2622,854.2331,2650.2124,2121.2061,884.7112,2149.2267,453.9136,2079.1696,2308.4132,808.123,379.5658,909.0136,1098.7152,795.5718,721.5412,462.4174,1815.7529,953.2144,3042.2682,813.6532,1308.2599,1132.5459,574.19,1674.1454,884.7341,1511.1041,1520.5564,361.139,290.0257,2352.1031,2347.7673,451.0593,1396.1518,744.9446,1219.9793,328.7271,375.723,529.5569,1460.4647,1359.6997,1045.3196,1984.2289,888.2128,1762.9463,1864.2025,694.3203,2526.357,2208.8745,907.3259,1692.7044,3077.7689,1473.9659,5251.8866,2958.3688,7045.069,2998.6106,1265.0178,1853.103,2448.0729,1409.9363,1619.1997,2305.7087,309.0824,736.7117,809.7695,210.0,980.9942,777.1932,1846.9155,1390.6114,1506.0874,472.1677,3791.831,1579.6968,21085.5486,1421.6743
2013-01-18,174.643,,1000.1244,942.9069,1148.4919,391.4265,263.7455,,460.5951,1249.2652,745.945,2327.417,811.3925,1757.3304,2140.6108,,1307.7631,1651.1913,889.8024,649.2014,103.5346,1279.1923,1102.2584,809.9916,1920.2761,839.4277,817.7489,1176.2838,530.0,605.7627,,2240.0366,858.8532,445.8263,910.9952,428.7516,825.4546,245.4694,,1178.8181,209.5984,954.2161,338.5685,840.9031,1220.011,4929.8991,764.5721,853.761,339.4995,1479.8382,2142.0828,2152.4154,3301.504,744.2473,1010.3893,1432.2927,536.499,3183.6686,828.6435,407.8641,265.3592,2113.4191,1612.011,539.9817,1159.9345,382.457,1040.561,1876.3716,2418.7154,994.4668,1728.8533,2514.3163,1997.5598,303.6578,1218.492,932.8685,1998.8696,980.5499,1411.2288,3794.0209,2419.7114,779.2856,1874.4457,3469.6503,2476.261,2277.3711,2532.6163,1589.2168,840.3634,240.6561,1144.8979,2660.2451,444.2773,1895.0547,1795.9479,1626.8136,895.5866,1539.0529,3015.5686,507.2633,211.1156,783.2328,261.579,2327.355,644.6564,904.5269,764.0473,1347.0334,1901.4173,3157.1669,838.4966,506.2905,1087.5825,2947.7011,458.5276,909.9126,1195.6814,2745.5643,655.6504,12450.2975,3591.0799,764.0423,,1334.9695,584.0453,4043.0355,2203.2436,2143.5379,,667.2566,906.5079,3372.9048,731.2208,822.911,953.9658,2733.6524,2180.0029,912.7478,2273.3023,459.7268,2180.8179,2375.7862,866.3661,404.5372,927.2936,1127.4607,841.6405,734.2523,472.7261,1890.3842,968.3906,3298.1225,820.86,1352.2413,1181.8636,590.4004,1680.1002,889.8878,1606.7436,1514.0023,371.1067,294.4424,2429.4749,2402.1137,456.9281,1423.5273,754.2564,1263.8109,336.0648,384.3333,549.5012,1524.444,1452.2327,1110.9083,2089.6339,931.3842,1793.5125,1918.464,720.0359,2578.262,2236.428,923.8228,1722.8304,3114.9625,1495.1049,5269.7198,2954.1606,7054.4876,3057.7381,1295.7616,1958.4927,2643.9188,1594.2417,1601.308,2431.0782,312.5947,739.6391,813.7004,213.0,990.329,792.0218,1846.9155,1378.0834,1501.5754,487.347,3838.8019,1596.6732,21725.3475,1432.5847
